date,nb_accesses
03/29/17,559
03/30/17,382
03/31/17,133
04/02/17,17
04/03/17,227
04/04/17,155
04/05/17,2804
04/06/17,1309
04/07/17,233
04/08/17,0
04/09/17,0
04/10/17,79
04/11/17,0
04/12/17,0
04/13/17,1
04/14/17,0
04/15/17,0
04/16/17,0
04/17/17,0
04/18/17,0
04/19/17,0
04/20/17,0
04/21/17,7
04/22/17,0
04/23/17,0
04/24/17,0
04/25/17,0
04/26/17,3
04/27/17,3
